Store Number,Annual Revenue,Annual Operational Costs,Median Income,Format,Location Name,Mean Age,Staff Friendliness Index,Traffic Busyness Index
1075,262408.77,133411.41,68800,Drive-thru,Elwick,29,2.54,5.38
1076,282935.47,142412.07,79900,Drive-thru,Bootberlow,33,8.19,6.29
1077,214808.67,104412.06,65800,Drive-thru,Siren on Port,32,8.48,6.77
1078,298405.58,172731.74,76400,Drive-thru,Elborne,38,5.76,5.55
1079,353461.2,210132.26,71700,Drive-thru,Sodmansshot,40,7.03,7.64
1080,263704.21,130150.38,64700,Drive-thru,Hams on Wold,33,6.61,5.36
1081,202168.96,113002.06,54600,Drive-thru,Bracktree,27,4.47,6.06
1082,279380.01,184501.88,79100,Drive-thru,Abbingney,40,8.78,5.55
1083,292589.06,171456.98,57600,Drive-thru,Burrenslow,18,3.58,6.98
1084,325357.4,200010.4,64400,Drive-thru,Skellingwick,30,4.03,5.04
1085,334236.22,200543.58,83100,Drive-thru,Hamslow,52,2.17,4.72
1086,184318.14,88033.15,69000,Drive-thru,Bootgrove,47,2.85,5.74
1087,277921.66,137522.0,72000,Drive-thru,Sirington,51,9.8,5.17
1088,164830.21,101335.33,53500,Drive-thru,Emmensringshot,26,8.27,4.62
1089,364933.74,209971.15,80200,Drive-thru,Warsted,44,4.62,6.69
1090,254716.7,201630.1,57500,Drive-thru,Abside,17,5.95,3.77
1091,319681.75,187518.91,80200,Drive-thru,Worwold,26,8.2,6.35
1092,301020.52,160967.52,76100,Drive-thru,Dribbenswick,33,3.76,6.0
1093,213145.5,119055.5,53700,Drive-thru,Wychey,35,3.24,4.81
1094,246038.52,121293.83,68700,Drive-thru,Camcompwood,42,3.88,6.32
1095,245003.54,106964.39,73600,Drive-thru,Rotsmith,35,1.73,6.04
1096,151343.35,81175.81,62100,Drive-thru,Whitbury,25,7.09,6.13
1097,275152.2,197619.3,75200,Drive-thru,Chelmsrebridge,33,7.34,5.76
1098,265502.85,173427.14,69600,Drive-thru,Burgleseyby,17,2.67,5.39
1099,238223.9,158935.92,77000,Drive-thru,Penderhall,38,4.83,5.7
1100,187453.98,92482.92,66800,Drive-thru,Cirendstanwood,33,9.28,5.34
1101,226402.74,124644.14,68400,Drive-thru,Nortsted,30,6.72,5.9
1102,216771.17,85856.4,67200,Drive-thru,Chilnell,35,9.94,6.58
1103,308354.27,184465.09,70100,Drive-thru,Wolving on Ney,35,7.86,6.45
1104,263684.07,118227.45,78500,Drive-thru,Abham,40,5.98,6.71
1105,252404.27,191000.98,63500,Drive-thru,Egstanthorne,26,4.39,5.31
1106,336433.12,199409.84,71000,Drive-thru,Egmere,27,1.22,6.28
1107,218988.57,104808.08,74600,Drive-thru,Camsbridge,31,6.31,5.13
1108,249864.56,100855.36,77900,Drive-thru,Hampenhampton,40,4.56,6.09
1109,148887.12,85982.36,66800,Drive-thru,Cirerhampton,18,6.7,6.14
1110,293652.28,161508.01,78700,Drive-thru,Horndlesney,33,2.79,7.97
1111,297360.37,182118.72,58200,Drive-thru,Botcombe,32,2.91,4.8
1112,367812.23,217580.13,81300,Drive-thru,Sudringey,40,6.79,7.69
1113,249509.28,161029.37,56500,Drive-thru,Hamsborough,23,9.94,5.7
1114,147129.03,82433.57,58600,Drive-thru,Handlecester,22,9.3,4.92
1115,343449.37,186438.76,65700,Drive-thru,Hamshampton,46,5.23,6.09
1116,332611.01,216181.15,69700,Drive-thru,Hamperrebrook,44,4.78,7.17
1117,259277.54,113698.43,74700,Drive-thru,Wensrensbury,46,8.05,7.15
1118,216598.46,96114.3,66200,Drive-thru,Barnbridge,32,4.38,6.16
1119,328070.42,198979.92,69700,Drive-thru,Dribbendon,45,1.18,4.99
1120,144646.76,85887.99,53300,Drive-thru,Rockham,22,2.84,3.82
1121,217617.08,126527.99,58200,Drive-thru,Bothampton,30,2.43,5.42
1122,263065.98,175148.95,61500,Drive-thru,Suddledon,35,6.86,3.43
1123,231427.72,102179.84,59600,Drive-thru,Alf-under-Bage,26,5.43,5.05
1124,314518.52,131125.34,83400,Drive-thru,Cammingborne,54,7.49,8.49
1125,303516.03,181696.95,71100,Drive-thru,Chednell,41,9.13,6.74
1126,338004.01,157141.28,82500,Drive-thru,Horstleenfield,45,9.34,8.5
1127,326572.46,198577.76,76400,Drive-thru,Chippercompbury,38,2.56,6.03
1128,232357.7,124371.45,69400,Drive-thru,Sodregrove,37,2.19,5.77
1129,290131.08,174240.46,60800,Drive-thru,Shaftlake,39,3.29,5.23
1130,345919.83,189773.68,90600,Drive-thru,Falfield,35,3.36,6.62
1131,225525.23,85559.25,73500,Drive-thru,Sirenmere,40,2.63,6.65
1132,355229.04,198510.62,73500,Drive-thru,Burringmansham,42,8.33,6.23
1133,284754.92,142984.5,68300,Drive-thru,Sundlesham,42,2.45,6.05
1134,181327.14,110133.05,66700,Drive-thru,Shrivley,31,4.55,6.8
1135,315746.42,185066.26,75900,Drive-thru,Toddlecombe,41,2.08,5.82
1136,220396.46,81501.0,78000,Drive-thru,Chilstanton,50,7.45,5.77
1137,398284.4,219942.51,92900,Drive-thru,Wychbeck,50,6.04,6.88
1138,245277.16,189215.02,54500,Drive-thru,Marlringbury,27,2.55,5.96
1139,367642.43,192313.62,87500,Drive-thru,Cimerwick,51,8.03,7.31
1140,315756.75,197134.49,72300,Drive-thru,Warrerfield,32,3.14,6.36
1141,220654.05,103775.59,66200,Drive-thru,Cheddlerensport,26,5.84,6.8
1142,281115.65,173624.48,68200,Drive-thru,Fulhead,39,2.29,5.03
1143,323930.92,181861.52,73200,Drive-thru,Ciringringley,30,3.67,6.22
1144,350582.55,210178.67,78000,Drive-thru,Warringtree,38,6.18,6.57
1145,325801.66,152123.99,86300,Drive-thru,Emmenfield,38,6.65,6.95
1146,196987.03,100525.5,58300,Drive-thru,Hamsringgrove,40,8.01,7.1
1147,311002.81,192754.6,68200,Drive-thru,Penavon,51,4.37,7.2
1148,219287.14,98674.46,63100,Drive-thru,Handdon,28,2.55,6.18
1149,225307.96,93608.19,81600,Drive-thru,Windlelake,36,8.19,6.42
1150,210436.72,91471.35,69900,Drive-thru,Handcastle,27,5.97,5.93
1151,239659.4,151733.56,53200,Drive-thru,Elton,19,9.1,4.29
1152,340704.34,160639.11,86700,Drive-thru,Elmborne,46,5.13,7.7
1153,219961.06,130462.74,45800,Drive-thru,Pemsstanbrook,27,2.15,4.92
1154,185455.63,95142.93,69200,Drive-thru,Emmenney,45,6.23,4.15
1155,272467.67,137041.88,89700,Drive-thru,Suddenwich,45,5.98,5.72
1156,238857.09,164929.09,59500,Drive-thru,Botwold,24,5.59,4.95
1157,269900.42,200340.15,61700,Drive-thru,Dribbenschester,27,6.5,3.76
1158,328183.22,198705.77,80100,Drive-thru,Alfwich,26,3.46,7.15
1159,288977.9,166135.43,69500,Drive-thru,Whitworth,41,6.85,5.89
1160,262688.99,140877.88,84500,Drive-thru,Redwold,39,1.27,4.52
1161,309368.22,206782.45,75000,Drive-thru,Stapsmith,28,1.14,6.37
1162,244257.89,110546.02,75600,Drive-thru,Dartringavon,35,9.1,7.97
1163,276040.22,199871.82,65500,Drive-thru,Hornsmith,29,3.68,5.96
1164,250844.06,143291.59,65800,Drive-thru,Ribdenwood,32,8.31,6.1
1165,204179.21,80558.72,86400,Drive-thru,Wethall,33,9.91,5.63
1166,266181.74,139363.55,73400,Drive-thru,Botwick,32,5.05,5.93
1167,235475.55,146750.79,53900,Drive-thru,Penbury,31,3.01,5.36
1168,229064.74,136994.57,66200,Drive-thru,Dribberham,28,4.93,6.58
1169,228356.95,89423.34,79000,Drive-thru,Stafnell,34,9.79,5.61
1170,202167.24,90367.86,66300,Drive-thru,Abberbrough,27,8.0,5.59
1171,369828.47,208811.06,80600,Drive-thru,Hamminghead,52,7.83,7.89
1172,241121.95,158754.24,72800,Drive-thru,Brombridge,41,6.68,5.1
1173,230983.7,119402.18,61000,Drive-thru,Endhall,28,2.89,5.25
1174,209950.96,114224.43,68300,Drive-thru,Camswick,30,1.61,4.82
1175,289727.06,182557.34,74300,Drive-thru,Toddergrove,30,1.71,5.23
1176,258912.22,193520.58,50400,Drive-thru,Durgletree,24,9.69,5.32
1177,208288.5,121312.81,60000,Drive-thru,Suddlesbrook,25,9.71,5.16
1178,264256.12,119512.07,77000,Drive-thru,Hartley,37,6.63,5.79
1179,332776.48,211756.29,76300,Drive-thru,Ashwang,36,4.4,6.47
1180,301442.06,175797.74,78800,Drive-thru,Emmend on Ney,40,8.71,5.25
1181,213119.38,106996.77,56300,Drive-thru,Burrenslake,35,4.87,4.61
1182,298789.47,210621.56,59600,Drive-thru,Bassmith,21,4.51,4.14
1183,345503.08,201422.84,81700,Drive-thru,Rotbrough,53,7.58,5.71
1184,195995.95,112768.79,46200,Drive-thru,Cifield,19,3.04,6.0
1185,269430.9,194533.85,53900,Drive-thru,Barndlebourne,24,2.56,5.75
1186,240477.81,133311.51,68100,Drive-thru,Egover,33,3.7,6.12
1187,259887.03,121970.44,66200,Drive-thru,Camshot,34,7.43,5.11
1188,217119.02,118356.69,69300,Drive-thru,Rotherthorne,48,1.3,6.48
1189,362320.38,192366.43,81800,Drive-thru,Abblenell,43,5.92,6.03
1190,252424.79,140439.44,61700,Drive-thru,Kingstleswood,37,9.48,5.34
1191,204962.76,81237.0,68700,Drive-thru,Hurstton,53,1.73,4.36
1192,308360.03,142896.18,76500,Drive-thru,Sundringworth,28,3.48,7.01
1193,255469.66,164917.95,71300,Drive-thru,Cheddercompbeck,25,2.6,5.81
1194,203662.34,105834.74,72100,Drive-thru,Prestwell,33,9.93,7.2
1195,321014.54,208080.82,67900,Drive-thru,Sundlestree,13,5.95,5.96
1196,213619.17,84478.65,64600,Drive-thru,Sirerchester,41,6.21,5.23
1197,314034.06,203796.54,67900,Drive-thru,Wolbury,27,3.04,4.93
1198,347572.89,203396.59,70500,Drive-thru,Tipmerford,31,5.29,5.13
1199,398555.92,213324.88,90800,Drive-thru,Milham,39,3.12,7.6
1200,270096.77,107421.91,74600,Drive-thru,Shrivcompnell,42,6.15,6.94
1201,293814.87,176037.56,64900,Drive-thru,Castleswell,23,6.88,4.35
1202,273792.63,182346.19,78000,Drive-thru,Cannerthorne,33,2.46,5.21
1203,226039.75,85560.58,77400,Drive-thru,Sudberport,37,7.14,6.52
1204,299624.67,96456.27,89400,Drive-thru,Edghall,49,2.87,6.05
1205,292770.06,153594.71,73700,Drive-thru,Sisted,33,4.71,6.92
1206,315079.87,161435.95,71000,Drive-thru,Durbleavon,36,9.58,6.28
1207,344867.78,218410.56,70100,Drive-thru,Hanningseyford,32,5.25,5.13
1208,330861.4,194271.56,88700,Drive-thru,Ciringdenwell,41,7.43,6.05
1209,284536.56,123913.44,77000,Drive-thru,Bromsdown,52,8.67,7.61
1210,320179.59,175950.81,82300,Drive-thru,Melbeck,38,3.25,6.68
1211,264501.06,113464.4,71500,Drive-thru,Durrebage,44,5.77,4.99
1212,285279.1,121212.81,74800,Drive-thru,Alfringborough,47,9.32,5.6
1213,258616.25,133576.96,69400,Drive-thru,Farnbury,41,6.54,4.07
1214,271411.91,110587.95,84300,Drive-thru,Fullingwold,49,2.96,6.9
1215,344841.56,197116.63,66300,Drive-thru,Rotditch,49,2.66,6.1
1216,307585.57,129644.49,81700,Drive-thru,Skelwang,34,6.16,6.6
1217,323354.45,190090.78,72300,Drive-thru,Kingstleseney,33,6.72,7.34
1218,312895.14,204232.1,74400,Drive-thru,Toddlegrove,30,4.11,4.78
1219,250333.54,113766.92,82900,Drive-thru,Meldon,43,3.62,5.51
1220,257586.95,109723.25,78000,Drive-thru,Hartborne,56,8.52,6.54
1221,322434.52,186461.39,76700,Drive-thru,Worring-under-Well,36,1.97,6.39
1222,291730.79,180639.94,72400,Drive-thru,Braddlested,30,9.77,6.5
1223,192461.46,85387.74,61700,Drive-thru,Milstoke,22,9.54,5.05
1224,205921.85,129028.91,65600,Drive-thru,Bastlebury,29,6.28,4.05
1225,267871.29,125892.41,67700,Drive-thru,Kingsnell,32,7.75,6.48
1226,308518.93,89899.84,88000,Drive-thru,Stapling,49,4.97,7.35
1227,323455.01,179465.4,65300,Drive-thru,Ketternell,37,6.0,5.83
1228,252595.29,131065.05,64700,Drive-thru,Dartmersmith,44,7.66,7.15
1229,280627.22,219005.06,69100,Drive-thru,Chilbridge,36,4.45,6.4
1230,202162.31,107907.13,54400,Drive-thru,Rockover,33,5.79,6.88
1231,344584.24,208092.68,77300,Drive-thru,Shaftstanborne,30,9.11,6.55
1232,252182.4,175184.26,63200,Drive-thru,Cookley,26,5.31,4.43
1233,256675.38,101322.34,76600,Drive-thru,Maidenhall,34,2.8,6.13
1234,286654.6,164026.83,72200,Drive-thru,Wetreden,46,3.12,5.34
1235,302100.93,185358.33,71100,Drive-thru,Milover,36,7.16,7.38
1236,242428.09,108170.7,60300,Drive-thru,Pendlesdown,32,9.92,7.67
1237,291478.38,208860.01,51500,Drive-thru,Rotthorne,23,4.35,6.29
1238,216295.28,160694.26,52100,Drive-thru,Ribblesside,17,6.26,6.2
1239,293548.92,126585.0,95500,Drive-thru,Cheddenbasborough,45,8.47,7.45
1240,271399.28,198306.44,59100,Drive-thru,Wencompmoor,36,2.13,5.44
1241,300963.98,141340.47,76500,Drive-thru,Sirerdenwold,43,1.03,6.44
1242,286015.72,181165.41,72300,Drive-thru,Eggingdown,40,2.33,6.76
1243,354969.69,197652.0,62000,Drive-thru,Pendlesside,42,6.33,6.18
1244,229017.43,114065.35,74600,Drive-thru,Melwold,37,8.15,7.77
1245,283197.05,178971.86,70800,Drive-thru,Pendavon,25,8.16,5.4
1246,304775.65,160295.96,74500,Drive-thru,Ellensted,31,5.8,5.94
1247,227672.51,117958.09,70200,Drive-thru,Wendleden,33,8.66,5.63
1248,239832.45,118306.78,74600,Drive-thru,Alfcastle,45,3.52,5.05
1249,240511.31,141017.86,71200,Drive-thru,Burbleborough,35,9.93,3.91
1250,361619.08,207324.74,84200,Drive-thru,Pemhead,44,4.97,5.93
1251,348183.24,159177.35,87400,Drive-thru,Alfling,50,1.13,7.07
1252,243205.47,109988.55,80200,Drive-thru,Hamsseyham,25,3.09,6.57
1253,240993.04,135452.7,71200,Drive-thru,Tipperdon,25,8.38,6.47
1254,208626.32,87574.08,69400,Drive-thru,Soddles on Cester,26,7.48,5.59
1255,224796.48,139496.8,72000,Drive-thru,Windlerethorne,40,4.59,5.85
1256,301160.78,105887.72,81200,Drive-thru,Kettenscastle,47,6.16,7.36
1257,290303.22,166715.79,63400,Drive-thru,Stafbury,39,3.1,5.77
1258,326323.15,132142.74,91600,Drive-thru,Rotherton,64,6.44,6.22
1259,304241.96,195857.94,60200,Drive-thru,Endlewick,15,6.5,6.1
1260,336199.43,208526.59,78200,Drive-thru,Braindlebrook,37,7.76,6.02
1261,360004.95,211521.86,74400,Drive-thru,Elmditch,32,8.89,7.28
1262,188368.24,82684.03,64700,Drive-thru,Fulborough,36,4.28,6.01
1263,179367.9,94659.9,52200,Drive-thru,Rotmanschester,28,5.64,5.33
1264,165077.57,80436.0,52100,Drive-thru,Millingtree,37,4.93,5.27
1265,170446.63,98638.45,67700,Drive-thru,Skelsmith,32,2.16,5.14
1266,259339.5,101346.7,80500,Drive-thru,Chilsted,44,2.19,6.47
1267,269480.73,153179.69,65200,Drive-thru,Warglerenshall,35,5.44,5.79
1268,233415.48,107437.38,73700,Drive-thru,Botshot,30,7.98,7.02
1269,204948.99,101435.92,63400,Drive-thru,Falsted,23,7.85,5.87
1270,104236.53,86100.91,37600,Drive-thru,Cheddlesley,28,4.49,2.99
1271,287486.89,193754.46,68900,Drive-thru,Clere-under-Side,19,1.75,4.59
1272,186370.48,98891.66,70900,Drive-thru,Sundworth,34,1.03,6.2
1273,314672.9,196554.88,69600,Drive-thru,Shaftbury,33,5.1,6.71
1274,247928.15,130445.65,70500,Drive-thru,Hanwell,21,9.95,6.74
1275,155959.99,81582.01,54800,Drive-thru,Botlow,22,9.0,4.73
1276,194905.31,104738.81,67100,Drive-thru,Cheddlesside,38,3.25,5.82
1277,246636.42,92680.53,68000,Drive-thru,Whitavon,26,3.57,6.58
1278,342964.83,185008.62,81600,Drive-thru,Farnberton,41,6.0,7.55
1279,322859.13,170633.24,72400,Drive-thru,Fullingborne,34,7.73,5.87
1280,359684.75,217019.42,81500,Drive-thru,Bootherey,41,7.34,7.79
1281,357717.98,188877.55,71600,Drive-thru,Cirer-under-Side,37,6.66,6.28
1282,307801.23,161625.33,64100,Drive-thru,Bradsted,49,7.02,5.69
1283,330659.65,161174.89,74700,Drive-thru,Cambenside,47,6.13,6.59
1284,302157.92,184292.03,63800,Drive-thru,Ribglerensborne,31,4.75,5.55
1285,239728.13,101283.88,70600,Drive-thru,Millerseygrove,44,6.31,7.47
1286,275102.4,189468.55,60700,Drive-thru,Emling,19,6.61,4.68
1287,226591.24,138894.42,74900,Drive-thru,Emmington,31,1.29,5.23
1288,230371.53,174466.85,55000,Drive-thru,Abberley,20,7.9,5.07
1289,276447.53,136683.78,81100,Drive-thru,Dribgleswold,50,9.36,6.27
1290,347599.39,202508.26,68000,Drive-thru,Ashworth,28,6.24,5.79
1291,280541.32,153921.3,68400,Drive-thru,Elborough,37,3.09,5.33
1292,344387.69,191902.16,71000,Drive-thru,Sudnell,50,3.11,7.76
1293,271184.13,203564.16,44000,Drive-thru,Todover,10,5.19,5.31
1294,239967.05,102485.2,65400,Drive-thru,Chillenham,32,5.05,5.79
1295,277354.34,97173.37,83200,Drive-thru,Edgwich,42,7.09,6.8
1296,260924.79,148602.51,58500,Drive-thru,Suddlesberwell,36,4.46,5.54
1297,278894.64,209558.31,57800,Drive-thru,Sodderbasshot,32,8.24,3.97
1298,283455.31,114191.6,77800,Drive-thru,Abbenseystoke,34,4.22,7.01
1299,315712.06,201739.5,76000,Drive-thru,Fullingseynell,34,8.24,6.82
1300,337932.03,186943.09,81900,Drive-thru,Hamslake,59,7.0,7.25
1301,270435.47,208104.91,50500,Drive-thru,Falmerhampton,21,1.41,3.73
1302,163790.99,122339.98,43700,Drive-thru,Burenham,17,1.58,4.46
1303,226551.84,106218.02,69300,Drive-thru,Todwang,38,4.39,5.71
1304,372321.69,161387.67,95500,Drive-thru,Southbaswell,46,9.61,7.3
1305,157730.32,81483.25,65600,Drive-thru,Barndleney,30,5.92,4.83
1306,233690.62,95537.78,87700,Drive-thru,Sunborne,29,5.24,7.28
1307,320688.15,185927.69,74700,Drive-thru,Kingscombe,30,6.73,6.69
1308,207768.31,108178.88,53400,Drive-thru,Chipcombe,33,7.54,7.05
1309,322545.76,161274.18,86200,Drive-thru,Flitling,35,4.54,7.35
1310,318231.49,171468.23,64100,Drive-thru,Ribbensmansnell,36,7.07,4.93
1311,321222.38,206877.96,62700,Drive-thru,Ciringcompditch,33,5.21,6.28
1312,252556.89,105592.2,72500,Drive-thru,Hurstling,42,6.46,5.63
1313,200677.9,85026.18,65400,Drive-thru,Worringstoke,40,3.79,6.81
1314,218302.78,96927.79,84100,Drive-thru,Farndlesbridge,33,5.39,6.69
1315,332816.16,151182.11,86700,Drive-thru,Soddledendon,35,5.71,7.59
1316,236799.39,104555.57,71900,Drive-thru,Braddlesmoor,28,1.43,6.75
1317,195855.31,107126.59,47500,Drive-thru,Ashbourne,22,4.28,4.97
1318,299160.42,176915.27,69100,Drive-thru,Soddlewood,39,9.96,5.54
1319,289220.14,117811.53,72400,Drive-thru,Skellendnell,44,8.95,6.47
1320,289297.17,214074.32,57900,Drive-thru,Emhall,28,7.79,6.04
1321,218380.19,101416.98,70600,Drive-thru,Camnell,19,8.29,5.69
1322,239033.62,115963.04,80800,Drive-thru,Brackhead,38,4.21,5.86
1323,328005.63,192861.46,69200,Drive-thru,Hammingmanshead,30,3.57,7.0
1324,219356.66,125874.27,58100,Drive-thru,Burblecester,34,8.04,5.25
1325,366105.35,185386.88,84500,Drive-thru,Sundlebeck,46,6.12,7.48
1326,161421.32,87206.96,67400,Drive-thru,Chillercastle,42,3.98,5.15
1327,245544.6,89331.96,76500,Drive-thru,Candbasdon,36,1.3,7.28
1328,205472.21,114534.83,53200,Drive-thru,Handleport,34,6.46,4.65
1329,287984.23,196772.51,64400,Drive-thru,Wyshot,31,1.64,5.4
1330,300397.6,113392.29,80300,Drive-thru,Hartstanwood,43,1.19,7.81
1331,254725.0,137611.83,78800,Drive-thru,Hammendmoor,30,1.5,6.3
1332,226022.24,177735.16,60600,Drive-thru,Worrerdown,34,9.56,4.01
1333,212016.06,131718.74,54700,Drive-thru,Suncester,29,1.67,5.06
1334,130043.55,104812.91,49900,Drive-thru,Soddingbermere,23,7.47,3.37
1335,213445.71,81960.83,88000,Drive-thru,Skelworth,23,8.86,4.44
1336,227503.25,115641.57,71600,Drive-thru,Emling,33,3.53,4.86
1337,214135.03,115189.27,69600,Drive-thru,Abblewang,20,7.71,5.73
1338,323937.55,156043.49,85700,Drive-thru,Hamsdon,46,5.97,6.89
1339,306341.35,161721.83,74300,Drive-thru,Chipley,46,1.16,7.23
1340,256542.02,202800.07,56700,Drive-thru,Durblehampton,24,5.29,3.61
1341,253562.14,116512.96,76000,Drive-thru,Rotwich,44,6.26,7.79
1342,348457.2,181198.59,84300,Drive-thru,Tiphead,40,7.22,7.45
1343,320711.61,165591.03,82300,Drive-thru,Burgrove,45,5.34,7.14
1344,306352.95,219176.44,60900,Drive-thru,Fulbrook,24,8.02,4.33
1345,283484.72,163240.13,71300,Drive-thru,Enstanhampton,35,6.43,7.63
1346,235301.21,120938.44,60200,Drive-thru,Todport,38,3.23,4.72
1347,343649.04,208136.04,86900,Drive-thru,Camseyford,52,9.26,6.31
1348,272387.39,175237.26,65300,Drive-thru,Burrenscompcombe,28,7.24,6.22
